contest_id,year,election_type,contest_name_raw,contest_name,position,date,seats,valid_votes,invalid_votes,quota,election_rules,has_stv_rounds,source,source_pdf
2014|UK national|Women members’ representatives higher education,2014,UK national,Women members’ representatives higher education,Women members’ representatives higher education,Women members’ representatives higher education,2/28/2014,3,10072,1527,2518,ERS97,True,pdf,data/raw/2014/pdfs/Women_HE_Count.pdf
2015|UK national|Casually Employed Members,2015,UK national,Casually Employed Members,Casually Employed Members,Casually Employed Members,02/02/2015,2,9586,1763,3145,Custom,True,pdf,data/raw/2015/pdfs/Casual_contracts_reps_Count_2015.pdf
2015|UK national|Midlands FE,2015,UK national,Midlands FE,Midlands FE,Midlands FE,02/02/2015,2,446,29,146.34,ERS97,True,pdf,data/raw/2015/pdfs/FE_Midlands_Count_2015.pdf
2015|UK national|North West FE,2015,UK national,North West FE,North West FE,North West FE,02/02/2015,1,401,19,200.5,ERS97,True,pdf,data/raw/2015/pdfs/FE_NW_Count_2015.pdf
2015|UK national|UK-Elected FE NEC Members,2015,UK national,UK-Elected FE NEC Members,UK-Elected FE NEC Members,UK-Elected FE NEC Members,02/02/2015,1,2604,197,1302,ERS97,True,pdf,data/raw/2015/pdfs/FE_UK-elected_Count_2015.pdf
2015|UK national|North West HE,2015,UK national,North West HE,North West HE,North West HE,02/02/2015,2,854,36,284.67,ERS97,True,pdf,data/raw/2015/pdfs/HE_NW_Count_2015.pdf
2015|UK national|President UCU Scotland,2015,UK national,President UCU Scotland,President UCU Scotland,President UCU Scotland,02/02/2015,1,834,29,417,ERS97,True,pdf,data/raw/2015/pdfs/HE_Scotland_Count_2015.pdf
2015|UK national|UK-Elected HE NEC Members,2015,UK national,UK-Elected HE NEC Members,UK-Elected HE NEC Members,UK-Elected HE NEC Members,02/02/2015,5,7223,431,1203.84,Custom,True,pdf,data/raw/2015/pdfs/HE_UK-elected_Count_2015.pdf
2015|UK national|LGBT Members,2015,UK national,LGBT Members,LGBT Members,LGBT Members,02/02/2015,1,9703,1646,4851.5,ERS97,True,pdf,data/raw/2015/pdfs/LGBT_rep_HE_Count_2015.pdf
2015|UK national|Trustees,2015,UK national,Trustees,Trustees,Trustees,02/02/2015,2,10659,690,3519,ERS97,True,pdf,data/raw/2015/pdfs/Trustees_Count_2015.pdf
2016|UK national|London and the East - FE,2016,UK national,London and the East - FE,London and the East - FE,London and the East - FE,29/02/2016,2,482,60,160.67,ERS97,True,pdf,data/raw/2016/pdfs/FE_London_East_count_sheet.pdf
