year,name_canonical,position,sector,role_type,elected_year
2015,Michael McKrell,"NEC Members, North West, HE",HE,regional,2015
2015,Douglas Chalmers,UCU Scotland President,HE,regional,2015
2015,Alan Barker,"UK NEC Members, FE",FE,uk_nec,2014
2015,Jenny Prideaux,"UK NEC Members, FE",FE,uk_nec,2014
2015,Mandy Brown,"UK NEC Members, FE",FE,uk_nec,2015
2015,Margot Hill,"UK NEC Members, FE",FE,uk_nec,2014
2015,Andreas Bieler,"UK NEC Members, HE",HE,uk_nec,2014
2015,Carlo Morelli,"UK NEC Members, HE",HE,uk_nec,2015
2015,David Goode,"UK NEC Members, HE",HE,uk_nec,2014
2015,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2014
2015,Harriet Bradley,"UK NEC Members, HE",HE,uk_nec,2014
2015,Julia Charlton,"UK NEC Members, HE",HE,uk_nec,2015
2015,Karen Evans,"UK NEC Members, HE",HE,uk_nec,2014
2015,Lesley McGorrigan,"UK NEC Members, HE",HE,uk_nec,2014
2015,Marion Hersh,"UK NEC Members, HE",HE,uk_nec,2015
2015,Roger Brooks,"UK NEC Members, HE",HE,uk_nec,2014
2015,Todd Bailey,"UK NEC Members, HE",HE,uk_nec,2015
2015,John McCormack,Immediate Past President,FE,vp_chain,2012
2015,Elizabeth Lawrence,President,HE,vp_chain,2013
2015,Rob Goodfellow,President-elect,FE,vp_chain,2014
2015,Sue Whittaker,"Representatives of Women Members, FE",FE,women,2014
2015,Vicky Knight,"Representatives of Women Members, FE",FE,women,2014
2015,Pat Hornby Atkinson,"Representatives of Women Members, HE",HE,women,2014
2015,Saira Weiner,"Representatives of Women Members, HE",HE,women,2014
2015,Sue Abbott,"Representatives of Women Members, HE",HE,women,2014
2016,Amy Jowett,"Representatives of Casually Employed Members, FE",FE,equality,2015
2016,Vicky Blake,"Representatives of Casually Employed Members, HE",HE,equality,2015
2016,Mary Jennings,"Representatives of LGBT+ Members, HE",HE,equality,2015
2016,Julia Roberts,"NEC Members, London and the East, FE",FE,regional,2016
2016,Sean Vernell,"NEC Members, London and the East, FE",FE,regional,2016
2016,Amanda Williams,"NEC Members, London and the East, HE",HE,regional,2016
2016,Rachel Cohen,"NEC Members, London and the East, HE",HE,regional,2016
2016,Sarah Brown,"NEC Members, London and the East, HE",HE,regional,2016
2016,Sean Wallis,"NEC Members, London and the East, HE",HE,regional,2016
2016,Jacqueline D'Arcy,"NEC Members, Midlands, FE",FE,regional,2015
2016,Simon Bruce-Jones,"NEC Members, Midlands, FE",FE,regional,2015
2016,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2016
2016,Nina Doran,"NEC Members, North West, FE",FE,regional,2015
2016,Jo McNeill,"NEC Members, North West, HE",HE,regional,2015
2016,Michael McKrell,"NEC Members, North West, HE",HE,regional,2015
2016,Renee Prendergast,"NEC Members, Northern Ireland, HE",HE,regional,2016
2016,Douglas Chalmers,UCU Scotland President,HE,regional,2015
2016,Jenny Prideaux,"UK NEC Members, FE",FE,uk_nec,2016
2016,Mandy Brown,"UK NEC Members, FE",FE,uk_nec,2015
2016,Margot Hill,"UK NEC Members, FE",FE,uk_nec,2016
2016,Mel Stouph,"UK NEC Members, FE",FE,uk_nec,2016
2016,Carlo Morelli,"UK NEC Members, HE",HE,uk_nec,2015
2016,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2016
2016,Julia Charlton,"UK NEC Members, HE",HE,uk_nec,2015
2016,Julie Hearn,"UK NEC Members, HE",HE,uk_nec,2016
2016,Marion Hersh,"UK NEC Members, HE",HE,uk_nec,2015
2016,Paul Errington,"UK NEC Members, HE",HE,uk_nec,2016
2016,Todd Bailey,"UK NEC Members, HE",HE,uk_nec,2015
2016,Elizabeth Lawrence,Immediate Past President,HE,vp_chain,2013
2016,Rob Goodfellow,President,FE,vp_chain,2014
2016,Vicky Knight,Vice-President,FE,vp_chain,2016
2016,Carolyn Campbell,"Representatives of Women Members, FE",FE,women,2016
2016,Elaine White,"Representatives of Women Members, FE",FE,women,2016
2016,Ariane Bogain,"Representatives of Women Members, HE",HE,women,2016
2016,Sue Abbott,"Representatives of Women Members, HE",HE,women,2016
2016,Victoria Showunmi,"Representatives of Women Members, HE",HE,women,2016
2017,Ryan Prout,"Representatives of LGBT+ Members, HE",HE,equality,2017
2017,Steve Sangwine,Honorary Treasurer,national,officer,2017
2017,Julia Roberts,"NEC Members, London and the East, FE",FE,regional,2016
2017,Sean Vernell,"NEC Members, London and the East, FE",FE,regional,2016
2017,Amanda Williams,"NEC Members, London and the East, HE",HE,regional,2016
2017,Rachel Cohen,"NEC Members, London and the East, HE",HE,regional,2016
2017,Sarah Brown,"NEC Members, London and the East, HE",HE,regional,2016
2017,Sean Wallis,"NEC Members, London and the East, HE",HE,regional,2016
2017,John Paul Sullivan,"NEC Members, Midlands, FE",FE,regional,2017
